length,length_lcc,coverage,directness,directness_lcc,poi_coverage,components,overlap_biketrack,overlap_bikeable,efficiency_global,efficiency_local,efficiency_global_routed,efficiency_local_routed,directness_lcc_linkwise,directness_all_linkwise
1742.644,1742.644,2.5071669501675182,0.9823304314847727,0.9823304314847727,2,1,0,0,0.9752760324514164,0,0.9752760324514163,0,0.977921639517566,0.977921639517566
1742.644,1742.644,2.5071669501675182,0.9823304314847714,0.9823304314847714,2,1,0,0,0.9752760324514164,0,0.9752760324514163,0,0.977921639517566,0.977921639517566
8456.019999999999,8456.019999999999,8.128548014093326,0.8746262394074084,0.8746262394074084,4,1,140.568,929.8000000000001,0.6836338025562864,0.0,0.5871882299616313,0,0.8934184792179645,0.8934184792179645
8456.019999999999,8456.019999999999,8.128548014093326,0.874626239407426,0.874626239407426,4,1,140.568,929.8000000000001,0.6836338025562864,0.0,0.5871882299616313,0,0.8934184792179645,0.8934184792179645
8456.019999999999,8456.019999999999,8.128548014093326,0.8746262394074186,0.8746262394074186,4,1,140.568,929.8000000000001,0.6836338025562864,0.0,0.5871882299616313,0,0.8934184792179645,0.8934184792179645
8456.019999999999,8456.019999999999,8.128548014093326,0.8746262394074203,0.8746262394074203,4,1,140.568,929.8000000000001,0.6836338025562864,0.0,0.5871882299616313,0,0.8934184792179645,0.8934184792179645
8456.019999999999,8456.019999999999,8.128548014093326,0.8746262394074201,0.8746262394074201,4,1,140.568,929.8000000000001,0.6836338025562864,0.0,0.5871882299616313,0,0.8934184792179645,0.8934184792179645
13781.482000000005,13781.482000000005,12.261808928683052,0.7825310400379072,0.7825310400379072,6,1,140.568,929.8000000000001,0.6360685814784353,0.0,0.6426333946170848,0.0,0.8099324384590514,0.8099324384590514
13781.482000000005,13781.482000000005,12.261808928683052,0.7834098808283659,0.7834098808283659,6,1,140.568,929.8000000000001,0.6360685814784353,0.0,0.6426333946170848,0.0,0.8076933388385622,0.8076933388385622
13781.482000000005,13781.482000000005,12.261808928683052,0.7834570054314197,0.7834570054314197,6,1,140.568,929.8000000000001,0.6360685814784353,0.0,0.6426333946170848,0.0,0.8054334579821864,0.8054334579821864
13781.482000000005,13781.482000000005,12.261808928683052,0.7835618752428575,0.7835618752428575,6,1,140.568,929.8000000000001,0.6360685814784353,0.0,0.6426333946170848,0.0,0.8076274571886786,0.8076274571886786
13781.482000000005,13781.482000000005,12.261808928683052,0.7854621805826866,0.7854621805826866,6,1,140.568,929.8000000000001,0.6360685814784353,0.0,0.6426333946170848,0.0,0.8061929462789775,0.8061929462789775
13781.482000000005,13781.482000000005,12.261808928683052,0.7833675283166746,0.7833675283166746,6,1,140.568,929.8000000000001,0.6360685814784353,0.0,0.6426333946170848,0.0,0.8073032735357982,0.8073032735357982
16490.381,16490.381,14.386060750304543,0.7741345531948136,0.7741345531948136,8,1,140.568,1250.267,0.6001376487417219,0.0,0.9290410457330975,0.44461339869324473,0.7958927858495038,0.7958927858495038
16490.381,16490.381,14.386060750304543,0.7780678054008177,0.7780678054008177,8,1,140.568,1250.267,0.6001376487417219,0.0,0.9290410457330975,0.44461339869324473,0.7984522020039897,0.7984522020039897
16490.381,16490.381,14.386060750304543,0.7800101178660419,0.7800101178660419,8,1,140.568,1250.267,0.6001376487417219,0.0,0.9290410457330975,0.44461339869324473,0.7990347991093167,0.7990347991093167
16490.381,16490.381,14.386060750304543,0.7790083230538355,0.7790083230538355,8,1,140.568,1250.267,0.6001376487417219,0.0,0.9290410457330975,0.44461339869324473,0.7989886142408992,0.7989886142408992
16490.381,16490.381,14.386060750304543,0.7773008516241944,0.7773008516241944,8,1,140.568,1250.267,0.6001376487417219,0.0,0.9290410457330975,0.44461339869324473,0.8008509310881655,0.8008509310881655
18056.564000000002,18056.564000000002,14.777970087858977,0.7718265051914156,0.7718265051914156,8,1,140.568,1250.267,0.6505973622269232,0.6323238314946168,0.9259973446257238,0.4881832393332038,0.7962879365998313,0.7962879365998313
18056.564000000002,18056.564000000002,14.777970087858977,0.7774048160484678,0.7774048160484678,8,1,140.568,1250.267,0.6505973622269232,0.6323238314946168,0.9259973446257238,0.4881832393332038,0.7939782168876897,0.7939782168876897
18056.564000000002,18056.564000000002,14.777970087858977,0.7749721907712622,0.7749721907712622,8,1,140.568,1250.267,0.6505973622269232,0.6323238314946168,0.9259973446257238,0.4881832393332038,0.7913868521697687,0.7913868521697687
18056.564000000002,18056.564000000002,14.777970087858977,0.7736157507005692,0.7736157507005692,8,1,140.568,1250.267,0.6505973622269232,0.6323238314946168,0.9259973446257238,0.4881832393332038,0.7923226244287501,0.7923226244287501
